"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.557542710E-1,-6.340979785E-2,2.793620527E-1,9.929615974E0,9.933747398E0
4.582539590E-1,-4.905286431E-2,2.745763958E-1,9.939187050E0,9.943099999E0
4.607482810E-1,-5.862415582E-2,3.032902777E-1,9.953543663E0,9.958335867E0
4.632425520E-1,-4.905286431E-2,2.697907388E-1,9.934401512E0,9.938185279E0
4.657368230E-1,-6.340979785E-2,2.793620527E-1,9.939187050E0,9.943314496E0
4.682311460E-1,-3.469592705E-2,2.745763958E-1,9.934401512E0,9.938255853E0
4.707254690E-1,-6.819544733E-2,2.841476798E-1,9.915258408E0,9.919563489E0
4.732197400E-1,-5.383851007E-2,2.745763958E-1,9.943972588E0,9.947908404E0
4.757145840E-1,-5.862415582E-2,2.985046208E-1,9.943972588E0,9.948624660E0
4.782286460E-1,-2.033899166E-2,2.602194548E-1,9.953543663E0,9.956965366E0
4.807234900E-1,-2.512463741E-2,2.554338276E-1,9.943972588E0,9.947284479E0
4.832183340E-1,-7.776673883E-2,2.650051117E-1,9.929615974E0,9.933456034E0
4.857131250E-1,-4.426721856E-2,2.362912297E-1,9.924830437E0,9.927741552E0
4.882079690E-1,-8.255238086E-2,2.793620527E-1,9.910472870E0,9.914753177E0
4.907028130E-1,-3.469592705E-2,2.650051117E-1,9.953543663E0,9.957131262E0
4.931976040E-1,-4.426721856E-2,2.841476798E-1,9.943972588E0,9.948129991E0
4.956916150E-1,-5.862415582E-2,2.697907388E-1,9.939187050E0,9.943020821E0
4.981709380E-1,-1.555334684E-2,2.697907388E-1,9.915258408E0,9.918940379E0
5.006502090E-1,-4.426721856E-2,2.554338276E-1,9.934401512E0,9.937783426E0
5.031442190E-1,-4.905286431E-2,2.506481707E-1,9.948758125E0,9.952035919E0
5.056382290E-1,-9.690931439E-2,2.793620527E-1,9.920044899E0,9.924450885E0
5.081322400E-1,8.374879137E-3,2.458625287E-1,9.953543663E0,9.956583248E0
5.106263020E-1,-1.196411322E-3,2.745763958E-1,9.991828918E0,9.995600971E0
5.131203130E-1,-2.033899166E-2,2.793620527E-1,9.924830437E0,9.928782203E0
5.156141150E-1,-4.426721856E-2,2.650051117E-1,9.934401512E0,9.938034046E0
5.181042710E-1,-2.991028316E-2,2.506481707E-1,9.963115692E0,9.966312930E0
5.205944270E-1,-3.948157281E-2,2.602194548E-1,9.958329201E0,9.961806735E0
5.230882290E-1,-2.033899166E-2,2.793620527E-1,9.953543663E0,9.957484034E0
5.255820310E-1,-5.862415582E-2,2.267199457E-1,9.929615974E0,9.932376962E0
5.280758340E-1,-3.948157281E-2,2.554338276E-1,9.948758125E0,9.952115025E0
5.305696360E-1,-3.469592705E-2,2.458625287E-1,9.967901230E0,9.970993286E0
5.330634380E-1,-3.469592705E-2,2.697907388E-1,9.967901230E0,9.971611995E0
